"","ThisWeek","LastWeek","Title","Studio","WeeklyGross","PctChange","TheatreCount","TheatreChange","Average","TotalGross","Budget","WeekNum","calYear","calWeek"
"118","117","87","Filth","Magn.","$1,500","-68.1%","3","-1","$4,000","$35,200","-","5",2014,26
"119","118","107","Evergreen: The Road to Legalization","FRun","$1,400","+764.0%","1","-","$11,100","$1,800","-","3",2014,26
"120","119","86","The Hornet's Nest","Free","$1,300","-73.6%","1","-2","$10,200","$352,600","-","8",2014,26
"121","120","93","Bicycling with Moliere","Strand","$1,300","-61.3%","2","-","$5,100","$63,300","-","10",2014,26
"122","121","105","Je T'aime, Je T'aime (2014 re-issue)","FDesk","$1,100","+142.2%","2","+1","$4,400","$69,300","-","20",2014,26
"123","122","103","Godzilla: The Japanese Original","Rialto","$1,100","+29.1%","1","-1","$8,600","$165,300","-","11",2014,26
"124","123","-","Going Attractions: The Definitive Story of the American Drive-in Movie","DID","$900","+47.7%","1","-","$7,600","$43,800","-","17",2014,26
"125","124","-","Deep Sea 3D (IMAX)","WB","$800","-62.4%","4","+2","$1,500","$52,876,100","-","435",2014,26
"126","125","94","The Sacrament","Magn.","$700","-74.6%","2","-3","$3,000","$10,600","-","4",2014,26
"127","126","102","The Unknown Known","RTWC","$600","-30.5%","1","-1","$5,000","$317,200","-","13",2014,26
"128","127","-","Who is Dayani Cristal?","KL","$600","-","1","-","$4,600","$18,200","-","7",2014,26
"129","128","-","The Rocket (2014)","KL","$500","-","1","-","$4,300","$64,100","-","17",2014,26
"130","129","-","The Jewish Cardinal","FM","$400","-","1","-","$3,500","$149,400","-","25",2014,26
"131","130","-","T-Rex: Back to the Cretaceous (IMAX)","Imax","$400","-","1","-","$3,100","$61,177,900","-","618",2014,26
"132","131","84","Burning Bush","KL","$400","-93.3%","1","-1","$3,000","$12,600","-","3",2014,26
"133","-","-","Little Fugitive (2013 re-release)","APD/C","$300","-","1","-","$2,300","$33,000","-","26",2014,26
"134","132","-","Galapagos (IMAX)","Imax","$200","-89.8%","2","-","$600","$20,972,000","-","766",2014,26
"135","133","-","Horses of God","KL","n/a","-","1","-","$300","$12,600","-","3",2014,26
"136","1","1","Transformers: Age of Extinction","Par.","$62,165,800","-60.8%","4,233","-","$118,700","$220,886,800","$210","2",2014,27
"137","2","7","Tammy","WB (NL)","$37,532,100","+178.9%","3,465","+65","$87,500","$50,989,100","$20","1",2014,27
"138","3","2","22 Jump Street","Sony","$18,121,100","-36.9%","3,324","-","$44,100","$189,600,300","$50","4",2014,27
"139","4","3","How to Train Your Dragon 2","Fox","$17,150,600","-33.7%","3,297","-","$42,000","$167,735,800","$145","4",2014,27
"140","5","10","Deliver Us From Evil","SGem","$16,968,200","+168.3%","3,049","-","$45,000","$23,291,800","$30","1",2014,27
"141","6","11","Earth to Echo","Rela.","$15,941,000","+167.1%","3,230","+1","$39,900","$21,910,200","$13","1",2014,27
"142","7","5","Maleficent","BV","$11,546,600","-28.8%","2,389","-54","$39,100","$249,905,400","$180","6",2014,27
"143","8","6","Jersey Boys","WB","$8,786,800","-35.1%","2,630","-","$27,000","$44,967,100","$40","3",2014,27
"144","9","4","Think Like a Man Too","SGem","$8,154,300","-51.1%","1,729","-","$38,100","$68,155,500","$24","3",2014,27
"145","10","9","Edge of Tomorrow","WB","$6,261,800","-34.1%","1,538","-","$32,900","$106,335,500","$178","5",2014,27
"146","11","8","The Fault in our Stars","Fox","$5,415,100","-45.5%","1,865","-1","$23,500","$135,520,400","$12","5",2014,27
"147","12","15","America (2014)","LGF","$5,161,600","+241.1%","1,105","-","$37,700","$6,674,800","-","2",2014,27
"148","13","12","X-Men: Days of Future Past","Fox","$3,346,700","-43.1%","1,044","+4","$25,900","$261,736,500","$200","7",2014,27
"149","14","13","Chef","ORF","$2,815,700","-5.8%","686","-115","$33,200","$26,176,700","-","9",2014,27
"150","15","24","Begin Again","Wein.","$2,079,400","+236.7%","175","-","$96,000","$2,697,000","-","2",2014,27
"151","16","25","Snowpiercer","RTWC","$1,719,300","+198.8%","250","+61","$55,600","$2,294,700","-","2",2014,27
"152","17","22","The Amazing Spider-Man 2","Sony","$889,300","+26.1%","289","-","$24,900","$230,892,700","-","10",2014,27
"153","18","20","Rio 2","Fox","$839,400","-8.5%","311","-11","$21,800","$148,268,200","$103","13",2014,27
"154","19","16","Neighbors","Uni.","$753,600","-43.7%","315","+17","$19,300","$170,116,500","$18","9",2014,27
"155","20","14","Godzilla (2014)","WB","$717,400","-55.3%","352","-","$16,500","$227,285,900","$160","8",2014,27
"156","21","19","Obvious Child","A24","$667,100","-28.6%","202","+6","$26,700","$2,438,600","-","5",2014,27
"157","22","21","Captain America: The Winter Soldier","BV","$613,600","-22.2%","251","-10","$19,800","$296,048,900","$170","14",2014,27
"158","23","17","Blended","WB","$601,700","-41.3%","305","-","$15,900","$50,905,300","$40","7",2014,27
"159","24","18","A Million Ways to Die in the West","Uni.","$480,900","-49.1%","227","+26","$17,100","$48,647,300","$40","6",2014,27
"160","25","N","A Hard Day's Night (2014 re-release)","Jan.","$415,300","-","136","-","$24,700","$415,300","-","1",2014,27
"161","26","31","Island of Lemurs: Madagascar (IMAX)","WB","$397,300","+1.5%","41","-","$78,300","$4,691,300","-","14",2014,27
"162","27","29","Ida","MBox","$390,100","-16.7%","105","-32","$30,000","$3,409,900","-","10",2014,27
"163","28","27","Heaven is for Real","TriS","$384,000","-18.6%","186","-","$16,700","$104,040,300","$12","12",2014,27
"164","29","28","Belle","FoxS","$346,400","-26.3%","123","-","$22,800","$11,600,900","-","10",2014,27
"165","30","30","The Grand Seduction","EOne","$321,100","-25.7%","91","-28","$28,500","$2,966,300","-","7",2014,27
"166","31","26","Million Dollar Arm","BV","$320,500","-40.1%","163","-15","$15,900","$40,679,700","$25","8",2014,27
"167","32","32","Divergent","LG/S","$299,200","-22.9%","184","-26","$13,100","$173,179,100","$85","16",2014,27
"168","33","N","Life Itself","Magn.","$215,100","-","23","-","$75,600","$215,100","-","1",2014,27
"169","34","34","The Other Woman (2014)","Fox","$195,600","-35.5%","142","-53","$11,100","$96,000,800","$40","11",2014,27
"170","35","23","Ek Villain","Eros","$186,000","-71.5%","104","-","$14,500","$838,100","-","2",2014,27
"171","36","36","The Grand Budapest Hotel","FoxS","$180,100","-18.4%","72","-18","$20,200","$67,436,400","$25","18",2014,27
"172","37","40","Third Person","SPC","$168,200","+26.2%","34","+3","$40,000","$365,400","-","3",2014,27
"173","38","35","Words and Pictures","RAtt.","$165,000","-28.0%","61","-44","$21,900","$2,224,500","-","7",2014,27
"174","39","33","The LEGO Movie","WB","$154,800","-49.7%","240","-","$5,200","$295,145,300","$60","22",2014,27
"175","40","41","Journey to the South Pacific","Imax","$150,700","+14.2%","18","-","$67,700","$4,158,000","-","32",2014,27
"176","41","42","Hubble 3D","WB","$143,800","+9.9%","12","-10","$96,900","$51,318,500","-","225",2014,27
"177","42","37","Mr. Peabody & Sherman","Fox","$117,700","-32.5%","111","-30","$8,600","$127,568,300","$145","18",2014,27
"178","43","39","Moms' Night Out","TriS","$91,700","-40.5%","96","-","$7,700","$11,939,700","$5","9",2014,27
"179","44","56","Yves Saint Laurent","Wein.","$84,700","+72.1%","10","+8","$68,400","$147,300","-","2",2014,27
"180","45","48","Space Station 3-D (IMAX)","Imax","$74,200","-7.9%","2","-1","$299,800","$104,496,200","-","638",2014,27
"181","46","50","Jerusalem","NGE","$72,600","+20.5%","11","-3","$53,300","$5,336,300","-","43",2014,27
"182","47","49","Le Chef","Cohen","$72,300","+12.0%","18","-1","$32,500","$159,600","-","3",2014,27
"183","48","45","God's Not Dead","Free","$71,600","-39.4%","90","-","$6,400","$69,651,900","$2","16",2014,27
"184","49","43","The Breakup Guru","CL","$66,700","-47.8%","10","-2","$53,900","$194,200","-","2",2014,27
"185","50","57","Venus in Fur","IFC","$52,300","+9.5%","12","+2","$35,200","$146,700","-","3",2014,27
"186","51","71","Under the Sea 3D","WB","$34,200","+39.1%","7","-","$39,400","$37,520,100","-","282",2014,27
"187","52","58","Only Lovers Left Alive","SPC","$29,300","-35.0%","12","-10","$19,700","$2,038,500","$7","13",2014,27
"188","53","53","Bears","BV","$29,000","-49.1%","31","-21","$7,500","$20,378,300","-","12",2014,27
"189","54","59","A Coffee in Berlin","MBox","$28,100","-36.5%","11","-1","$20,700","$105,700","-","4",2014,27
"190","55","70","Whitey: USA v. James J. Bulger","Magn.","$27,800","+11.8%","8","+5","$28,000","$52,600","-","2",2014,27
"191","56","73","A Summer's Tale","BWP","$26,800","+15.0%","4","+2","$54,100","$75,300","-","3",2014,27
"192","57","82","The Dance of Reality","Abk.","$25,200","+54.3%","12","+3","$16,900","$268,000","-","7",2014,27
"193","58","54","Fading Gigolo","MNE","$24,300","-54.5%","12","-12","$16,400","$4,310,600","-","12",2014,27
"194","59","N","Lekar Hum Deewana Dil","Eros","$23,900","-","50","-","$3,900","$23,900","-","1",2014,27
"195","60","52","Muppets Most Wanted","BV","$23,500","-59.1%","41","-10","$4,600","$58,709,600","$50","16",2014,27
"196","61","38","The Rover","A24","$21,500","-86.1%","21","-226","$8,300","$1,185,600","$12","4",2014,27
"197","62","64","Under the Skin (2014)","A24","$19,900","-44.6%","12","-2","$13,400","$2,932,200","$13.3","14",2014,27
"198","63","74","Locke","A24","$18,200","-21.3%","11","-4","$13,400","$1,515,400","-","11",2014,27
"199","64","80","Legends of Oz: Dorothy's Return","CE","$17,600","-2.8%","23","+14","$6,200","$9,700,400","$70","9",2014,27
"200","65","69","Night Moves","Cdgm.","$17,000","-35.9%","11","-3","$12,500","$282,400","-","6",2014,27
"201","66","62","Supermensch: The Legend of Shep Gordon","RTWC","$16,400","-58.7%","12","-19","$11,000","$230,000","-","5",2014,27
"202","67","51","Fed Up","RTWC","$16,000","-72.8%","16","-16","$8,100","$1,715,500","-","9",2014,27
"203","68","68","50 to 1","10F","$15,900","-41.1%","8","-","$16,100","$906,900","-","16",2014,27
"204","69","66","The Railway Man","Wein.","$15,500","-50.8%","14","-24","$8,900","$5,084,500","-","13",2014,27
"205","70","76","Chinese Puzzle","Cohen","$15,300","-24.6%","10","-7","$12,300","$378,200","-","8",2014,27
"206","71","60","Under the Electric Sky","Focus","$15,200","-63.9%","9","-","$13,600","$224,400","-","6",2014,27
"207","-","-","Penton: The John Penton Story","Gathr","$14,900","-","7","-","$17,200","$40,900","-","2",2014,27
"208","72","67","Korengal","Sab.","$14,800","-47.1%","9","-2","$13,200","$83,700","-","6",2014,27
