"Title","Studio","calWeeklyGross","totTheatreCount","totGross","totBudget","WeeksOn","startYear","startWeek"
"Far from the Madding Crowd","FoxS",13423300,3888,13749400,"         NA","9",2015,18
"Far from the Tree","IFC",103900,30,103900,"         NA","4",2018,29
"Farewell to Hollywood","ICir",9800,10,9400,"         NA","8",2015,8
"Farewell, Herr Schwarz","KL",5100,2,5100,"         NA","1",2015,2
"Father Figures","WB",17691600,8014,17711400,"         NA","8",2017,51
"Fatima","KL",54500,15,52800,"         NA","9",2016,35
"Fed Up","RTWC",125000,109,1765500,"         NA","9",2014,26
"Felicite","Strand",12600,21,12600,"         NA","8",2017,43
"Felix and Meira","Osci.",480600,203,497900,"         NA","9",2015,16
"Fences","Par.",43554200,10794,60488700,"    2400000","9",2016,51
"Ferdinand","Fox",85321200,20424,85004200,"   11100000","9",2017,50
"Fidelio: Alice's Odyssey","FRun",3900,4,3800,"         NA","6",2015,29
"Fifi Howls From Happiness","MBox",15700,5,15600,"         NA","4",2014,32
"Fifty Shades Darker","Uni.",120152900,15139,120000400,"    5500000","8",2017,6
"Fifty Shades Freed","Uni.",101611800,16324,101539500,"    5500000","8",2018,6
"Fifty Shades of Black","ORF",12626700,5199,12626800,"         NA","8",2016,5
"Fifty Shades of Grey","Uni.",189586500,17739,187692600,"    4000000","9",2015,7
"Film Stars Don't Die in Liverpool","SPC",1035000,599,1014100,"         NA","9",2017,52
"Filmworker","KL",96900,68,96900,"         NA","9",2018,19
"Filth","Magn.",5700,9,39500,"         NA","8",2014,26
"Final Portrait","SPC",457500,330,456600,"         NA","9",2018,12
"Finders Keepers (2015)","Orch.",37700,64,37600,"         NA","5",2015,39
"Finding Dory","BV",520585700,31530,527493600,"         NA","9",2016,25
"Finding Fanny","FIP",706400,121,706400,"         NA","1",2014,37
"Finding Fela","KL",138400,68,138000,"         NA","9",2014,31
"Finding Happiness","Gathr",1800,2,1800,"         NA","3",2018,14
"Finding Oscar","FR",23800,26,23900,"         NA","5",2017,15
"Finding Vivian Maier","IFC",67100,49,1728900,"         NA","19",2014,26
"Finding Your Feet","RAtt.",1402000,846,1402000,"         NA","9",2018,13
"Fire at Sea","KL",69800,44,125300,"         NA","9",2016,43
"Fireworks (2018)","GK",519100,528,519100,"         NA","2",2018,26
"Fireworks Wednesday","Ghop",96800,31,96500,"         NA","9",2016,12
"First Reformed","A24",3407900,1141,3407800,"         NA","9",2018,20
"First We Take Brooklyn","ZP",39900,9,39800,"         NA","2",2018,6
"Fist Fight","WB (NL)",33749000,10941,33451800,"         NA","8",2017,7
"Fitoor","UTV",569000,210,568900,"         NA","2",2016,7
"Five Nights in Maine","FR",17000,11,17000,"         NA","2",2016,32
"Five Seasons: The Gardens of Piet Oudolf","Argo.",97600,28,97500,"         NA","8",2018,23
"Flamenco, Flamenco","Da.",84000,23,81900,"         NA","8",2014,29
"Flatliners (2017)","Sony",17048700,8055,17048600,"    1900000","8",2017,39
"Florence Foster Jenkins","Par.",29818000,7905,29473000,"    2900000","9",2016,33
"Flower","Orch.",329200,205,323800,"         NA","7",2018,11
"Flowers","MBox",63300,34,66500,"         NA","7",2015,44
"Focus (2015)","WB",61276700,14437,57991800,"    5010000","9",2015,9
"Followers","Cdgm.",3400,10,3400,"         NA","1",2018,12
"Food Evolution","Abr.",17900,8,17800,"         NA","6",2017,25
"Footnotes","MR",6900,2,6900,"         NA","1",2017,28
"For a Few Bullets","CL",32800,17,32800,"         NA","2",2016,30
"For a Woman","FM",7500,3,36900,"         NA","12",2014,28
"For Ahkeem","Vita.",19200,3,19200,"         NA","1",2017,41
"For No Good Reason","SPC",7600,14,77400,"         NA","16",2014,26
"For the Love of Spock","Grav.",86800,94,84500,"         NA","8",2016,37
"Forbidden Games (1952)","Rialto",21600,4,22300,"         NA","6",2015,17
"Force Majeure","Magn.",1526000,623,1552000,"         NA","9",2014,43
"Forest for the Trees (2017 re-release)","FM",1000,4,1500,"         NA","7",2017,2
"Forever (2015)","Mont.",NA,3,NA,"         NA","5",2015,37
"Forever My Girl","RAtt.",16571400,6030,16514300,"     350000","9",2018,3
"Forever Young (2015)","CL",168200,31,168300,"         NA","3",2015,28
"Forrest Gump (IMAX)","Par.",639800,337,639800,"         NA","1",2014,36
"Fort McCoy","Mont.",90300,53,88200,"         NA","9",2014,33
"Foxcatcher","SPC",13649500,3434,13778300,"         NA","9",2014,46
"Foxtrot","SPC",618600,291,611600,"         NA","9",2018,9
"Francofonia","MBox",318600,124,334500,"         NA","8",2016,14
"Frank","Magn.",738300,348,720600,"         NA","9",2014,33
"Frank and Lola","Pala.",9700,26,9700,"         NA","1",2016,50
"Frank Miller's Sin City: A Dame to Kill For","W/Dim.",15781900,7435,15702600,"         NA","7",2014,34
"Frank Serpico","IFC",6800,4,6900,"         NA","2",2017,43
"Frantz","MBox",913700,423,912400,"         NA","9",2017,10
"Freak Show","IFC",18500,21,18400,"         NA","4",2018,2
"Freaks of Nature","Sony",75600,146,75600,"         NA","2",2015,44
"Free Fire","A24",1863600,1929,1863600,"         NA","4",2017,16
"Free State of Jones","STX",22364700,7511,22668500,"    5000000","5",2016,26
"Free the Nipple","IFC",1000,1,1000,"         NA","1",2014,50
"Freeheld","LGF",610900,398,610900,"         NA","6",2015,40
"Freetown","Purd.",431500,372,450900,"         NA","9",2015,14
"Friend Request","ENTMP",3871900,4942,3795900,"     990000","9",2017,38
"Friends and Romans","Pala.",21600,22,21500,"         NA","5",2015,43
"Fritz Lang's Destiny (2016 re-release)","KL",7800,5,13200,"         NA","7",2016,21
"From Afar","Strand",32300,16,32900,"         NA","9",2016,23
"From Nowhere","FR",8500,2,8500,"         NA","1",2017,7
"From the Land of the Moon","IFC",49600,36,49600,"         NA","5",2017,30
"Front Cover","Strand",28700,8,27900,"         NA","8",2016,32
"Frontera","Magn.",68200,49,66700,"         NA","6",2014,36
"Frozen","BV",30400,33,459757600,"   15000000","34",2014,26
"Full Moon in Paris","FM",17000,4,17700,"         NA","2",2015,16
"Furious (Legend of Kolovrat)","CARUSEL",9900,21,9900,"         NA","2",2018,16
"Furious 7","Uni.",378072300,27789,394433300,"   19000000","9",2015,14
"Fury (2014)","Sony",95799100,19458,97900800,"    6800000","9",2014,42
"Futuro Beach","Strand",23000,15,21800,"         NA","8",2015,9
"Gabbar is Back","Eros",575600,214,575600,"         NA","2",2015,18
"Gabo: The Creation of Gabriel Garcia Marquez","Icar.",9700,4,11100,"         NA","8",2015,39
"Gabriel","Osci.",7800,8,7400,"         NA","5",2015,25
"Gabriel and the Mountain","Strand",14900,8,14900,"         NA","7",2018,24
"Galapagos (IMAX)","Imax",NA,86,20973200,"         NA","876",2014,26
"Game Night","WB (NL)",69675900,18202,68191800,"    3700000","9",2018,8
"Game of Thrones (IMAX)","WB",2164600,205,2164600,"         NA","1",2015,5
"Ganja & Hess (2018 re-release)","KL",17200,12,17200,"         NA","6",2018,21
"Gauguin: Voyage to Tahiti","Cohen",195200,47,195300,"         NA","5",2018,27
"Gemini","Neon",190000,93,190000,"         NA","3",2018,13
"Gemma Bovery","MBox",215300,151,215200,"         NA","9",2015,22
"Generation Found","Gathr",157700,105,160000,"         NA","9",2016,35
"Generation Startup","Long Shot",22500,3,22100,"         NA","3",2016,39
"Generation Wealth","Magn.",224000,90,223900,"         NA","4",2018,29
"Genesis: Paradise Lost","Fathom",1458100,419,1458100,"         NA","-",2017,45
"Genius","RAtt.",1457200,588,1482600,"         NA","9",2016,24
"Gentleman","Gaatri",955400,224,978100,"         NA","4",2016,25
"Geostorm","WB",34030900,12022,34104900,"   12000000","9",2017,42
"German Concentration Camps Factual Survey","FRun",4700,1,4700,"         NA","1",2017,1
"Germans & Jews","FRun",40900,9,41500,"         NA","8",2016,24
"Gerontophilia","Strand",5400,3,5300,"         NA","4",2015,18
"Get Hard","WB",97387800,18582,101589600,"    4000000","9",2015,13
"Get On Up","Uni.",35072200,7336,35072200,"         NA","7",2014,31
"Get Out","Uni.",184273600,24287,182376000,"     450000","9",2017,8
"Gett: The Trial of Viviane Amsalem","MBox",1101800,427,1110300,"         NA","9",2015,7
"Getting Grace","Hann.",216300,111,213600,"         NA","9",2018,12
"Ghost in the Shell (2017)","Par.",42013800,10907,42013900,"   11000000","8",2017,13
"Ghost in the Shell: The New Movie","FUN",107800,6,107800,"         NA","-",2015,45
"Ghost Stories","IFC",133500,61,133500,"         NA","5",2018,16
"Ghost Team","Orch.",NA,15,7200,"         NA","7",2016,33
"Ghostbusters (2016)","Sony",139783200,18522,138869400,"   14400000","9",2016,29
"Ghostbusters (30th Anniversary re-release)","Sony",4107600,1670,4107600,"         NA","3",2014,35
"Gifted","FoxS",25688500,11715,25745500,"     700000","9",2017,14
"Gimme Danger","Magn.",464600,239,464700,"         NA","9",2016,44
"Girl Asleep","Osci.",63700,57,63600,"         NA","6",2016,39
"Girlhood (2015)","Strand",68500,34,65400,"         NA","9",2015,5
"Girls Trip","Uni.",119548900,17956,119267500,"    1900000","9",2017,29
"Girls vs Gangsters","WGUSA",37600,7,37600,"         NA","2",2018,10
"Gladiators of Rome","VPD",9100,12,9200,"         NA","1",2014,45
"Gleason","ORF",635700,315,635800,"         NA","5",2016,31
"Glen Campbell... I'll Be Me","A23",408300,109,417200,"         NA","9",2014,43
"Gloria (2015)","PH",16500,8,16500,"         NA","9",2015,29
"Glory (2017)","FM",19200,14,19100,"         NA","7",2017,14
"Go Away Mr. Tumor","CL",167000,34,322100,"         NA","5",2015,33
"God's Not Dead","Free",241700,232,69703700,"     200000","20",2014,26
"God's Not Dead 2","PFR",22060200,9089,22629900,"         NA","9",2016,14
"God's Not Dead: A Light in Darkness","PFR",5661800,3622,5661800,"         NA","9",2018,13
"God's Own Country","Orion",339000,93,339600,"         NA","9",2017,42
"God Help the Girl","Ampl.",117600,89,114800,"         NA","5",2014,36
"God Knows Where I Am","B360",21800,25,21900,"         NA","6",2017,13
"God of War","WGUSA",55400,34,55400,"         NA","4",2017,22
"God the Father","RM",126500,34,126500,"         NA","5",2014,42
"Godard Mon Amour","Cohen",80200,64,80200,"         NA","5",2018,16
"Gods of Egypt","LG/S",33644400,10965,33080500,"   14000000","9",2016,9
"Godzilla (2014)","WB",5267100,2278,230231100,"   16000000","9",2014,26
"Godzilla: The Japanese Original","Rialto",8000,6,172300,"         NA","17",2014,26
"Going Attractions: The Definitive Story of the American Drive-in Movie","DID",17300,4,60200,"         NA","20",2014,26
"Going Away","Cohen",20800,2,20800,"         NA","2",2015,40
"Going in Style (2017)","WB (NL)",46628600,17272,46732600,"    2500000","9",2017,14
"Gold","Wein.",7578600,4716,7578600,"         NA","6",2017,4
"Goldbuster","WGUSA",188300,37,188400,"         NA","4",2018,1
"Golden Exits","VE",40200,15,40200,"         NA","3",2018,6
"Golden Kingdom","KL",4400,1,4400,"         NA","1",2016,25
"Golden Slumber","CJ",95600,25,95600,"         NA","4",2018,7
"Goldstone","Lightyear",87700,58,86600,"         NA","9",2018,9
"Gone Doggy Gone","Indic.",6700,18,15100,"         NA","8",2016,45
"Gone Girl","Fox",187429400,25539,191527300,"    6100000","9",2014,40
"Gonjiam: Haunted Asylum","WGUSA",113900,24,113900,"         NA","5",2018,15
"Good Kill","IFC",342400,217,355600,"         NA","7",2015,20
"Good Manners","Distrib.",13800,9,13900,"         NA","3",2018,30
"Good Time","A24",2098000,1533,2056700,"         NA","9",2017,32
"Goodbye Christopher Robin","FoxS",1752300,857,1752300,"         NA","9",2017,41
"Goodbye Mr. Loser","CL",1378400,135,1378400,"         NA","7",2015,41
"Goodbye To All That","IFC",15600,11,15700,"         NA","5",2014,51
"Goodbye to Language","KL",442700,78,435000,"         NA","9",2014,43
"Goodland","PDF",18400,3,31300,"         NA","5",2018,19
"Goodnight Mommy","RTWC",1268700,464,1255400,"         NA","9",2015,36
"Gook","Gold.",259500,104,255700,"         NA","8",2017,33
"Goosebumps","Sony",85341100,20942,86520400,"    5800000","9",2015,42
"Gore Vidal: United States of Amnesia","IFC",27900,18,155500,"         NA","8",2014,26
"Gotti","VE",4282000,1346,4282100,"         NA","5",2018,24
"Grace Jones: Bloodlight and Bami","KL",370100,160,370100,"         NA","9",2018,15
"Graduation","IFC",182200,114,182200,"         NA","9",2017,14
"Grandma (2015)","SPC",7692200,3146,7541900,"      60000","9",2015,34
"Gray Matter","Indic.",37700,22,37600,"         NA","4",2018,20
"Great Museum","KL",20200,2,19200,"         NA","3",2015,27
"Greater","Ham",2173800,948,2109300,"         NA","9",2016,35
"Green is Gold","Gold.",500,1,500,"         NA","1",2016,41
"Green Room","A24",3419700,1989,3508000,"         NA","9",2016,16
"Grey Gardens (2015 re-release)","Jan.",42200,2,42200,"         NA","2",2015,10
"Gridiron Heroes","Indic.",24600,28,24600,"         NA","9",2016,16
"Gringo","STX",5029200,4870,5015100,"         NA","4",2018,10
"Gringo Trails","Icar.",6300,5,7800,"         NA","32",2014,36
"Growing Up Smith","Good Deed",37000,17,37000,"         NA","2",2017,5
"Guardian Angel","RME",14100,2,14100,"         NA","1",2014,42
"Guardians of the Galaxy","BV",381716200,37350,380362900,"   17000000","9",2014,31
"Guardians of the Galaxy Vol. 2","BV",403769100,30135,404654800,"   20000000","9",2017,18
"Gueros","KL",66800,43,64100,"         NA","9",2015,20
"Guidance","Strand",5200,6,5200,"         NA","6",2015,34
"Gurukulam","Mats.",27500,45,27900,"         NA","7",2016,23
"Hacksaw Ridge","LGF",70150500,18069,70478900,"    4000000","8",2016,45
"Haider","UTV",1170600,399,1170600,"         NA","4",2014,39
"Haikara-San: Here Comes Miss Modern","Elev.",16400,105,16400,"         NA","6",2018,23
"Hail, Caesar!","Uni.",32945900,8245,32661300,"    2200000","9",2016,6
"Half of a Yellow Sun","Mont.",19700,20,62300,"         NA","9",2014,26
"Hamari Adhuri Kahani","FIP",228100,67,228100,"         NA","1",2015,24
"Hands of Stone","Wein.",5132700,4831,5102000,"         NA","7",2016,35
"Hannah: Buddhism's Untold Journey","KL",400,1,400,"         NA","1",2016,42
"Happy Bhaag Jayegi","Eros",383400,390,383300,"         NA","5",2016,34
"Happy Christmas","Magn.",34800,28,34800,"         NA","7",2014,30
"Happy Death Day","Uni.",56229800,14192,56229800,"     480000","9",2017,41
"Happy End","SPC",305100,162,305300,"         NA","9",2017,51
"Happy Ending","Eros",350500,387,350400,"         NA","3",2014,47
"Happy Valley (2014)","MBox",26700,16,26700,"         NA","4",2014,46
"Hard to Be a God","KL",29700,21,28700,"         NA","9",2015,5
"Hardcore Henry","STX",9824200,6719,9824300,"         NA","5",2016,15
"Hare Krishna! (Gathr Release)","Gathr",1300,2,19100,"         NA","36",2018,13
"Hare Krishna! The Mantra, the Movement and the Swami Who Started it All","Abr.",137900,73,138100,"         NA","9",2017,24
"Harmonium","FM",17600,20,17800,"         NA","9",2017,24
"Harold and Lillian: A Hollywood Love Story","Zeit.",81300,61,81200,"         NA","9",2017,17
"Harry & Snowman","FR",587300,185,588800,"         NA","9",2016,40
"Harry Benson: Shoot First","Magn.",15600,24,19000,"         NA","7",2016,50
"Harry Potter IMAX Marathon","Imax",1823700,330,1823700,"         NA","1",2016,42
"Have a Nice Day","Strand",80200,49,78800,"         NA","8",2018,4
"Hayride 2","Free",2900,10,2900,"         NA","1",2015,10
"Hazlo Como Hombre (Do It Like An Hombre)","PNT",2629500,1108,2580200,"         NA","5",2017,35
"He Named Me Malala","FoxS",2843800,1299,2843800,"         NA","9",2015,40
"Heart Blackened","CJ",17800,3,37400,"         NA","3",2017,45
"Heart of a Dog","Abr.",450000,167,454700,"         NA","9",2015,42
"Hearts Beat Loud","G&S",2343500,853,2343600,"         NA","9",2018,23
"Heat and Dust (2017 re-release)","Cohen",18600,4,18600,"         NA","1",2017,35
"Heaven is for Real","TriS",1698500,919,104883000,"    1200000","16",2014,26
"Heaven Knows What","RTWC",90800,54,90700,"         NA","9",2015,22
"Hector And The Search For Happiness","Rela.",1257500,637,1255900,"         NA","9",2014,38
"Heist (2015)","LGP",53400,41,53400,"     890000","2",2015,46
"Hell and Back","Free",168100,439,168100,"         NA","2",2015,40
"Hell or High Water","LGF",29359200,8464,28482700,"    1200000","9",2016,33
"Hellion","IFC",37200,30,59400,"         NA","7",2014,26
"Hello, My Name is Doris","RAtt.",15418300,5141,15735000,"         NA","9",2016,11
"Heneral Luna","Abr.",219600,69,219500,"         NA","3",2015,44
"Hercules (2014)","Par.",83378900,13816,82828600,"   10000000","9",2014,30
"Hereditary","A24",43492000,10890,43491900,"         NA","9",2018,23
"Hermia & Helena","KL",NA,25,43700,"         NA","9",2017,21
"Hero (2015)","Eros",99600,106,99600,"         NA","2",2015,37
"Hidden Figures","Fox",176271800,29210,175834300,"    2500000","9",2016,52
"Hieronymus Bosch: Touched by the Devil","KL",186000,71,182000,"         NA","8",2016,29
"High-Rise","Magn.",368800,160,377400,"         NA","9",2016,20
"High Strung (2016)","Pala.",56800,100,56800,"         NA","1",2016,15
"Higher Power","Magn.",500,3,500,"         NA","1",2018,19
"Hillary's America: The Secret History of the Democratic Party","QF",14269500,4200,14256300,"         NA","9",2016,29
"Hillsong - Let Hope Rise","PFR",2599800,1720,2521200,"         NA","5",2016,38
"Hippocrates, Diary of a French Doctor","Distrib.",26000,10,25900,"         NA","9",2015,25
"Hiroshima Mon Amour (2014 re-release)","Rialto",99700,31,102000,"         NA","9",2014,42
"History of Jazz: Oxygen for the Ears","Indic.",25100,23,24300,"         NA","9",2014,43
"Hitchcock/Truffaut","Cohen",278300,103,281400,"         NA","9",2015,48
"Hitler's Hollywood","KL",39700,20,40200,"         NA","6",2018,14
"Hitman: Agent 47","Fox",25235500,10384,25058000,"    3500000","8",2015,34
"Ho Mann Jahaan","Eros",221900,111,221900,"         NA","5",2016,1
"Hockney","FM",128300,62,131500,"         NA","9",2016,17
"Hollidaysburg","SM",4400,2,4300,"         NA","2",2014,38
"Holy Hell","WRA",19200,5,19200,"         NA","2",2016,22
"Holy Hell (2018)","Indic.",33300,13,33300,"         NA","4",2018,29
"Home (2015)","Fox",191378100,31460,199330300,"   13500000","9",2015,13
"Home Again","ORF",27947400,12710,27285200,"    1200000","9",2017,36
"Homeland","KL",2600,1,2600,"         NA","1",2016,41
"Honeymoon","Magn.",10600,12,10400,"         NA","6",2014,37
"Hooligan Sparrow","TFC",10000,7,9800,"         NA","5",2016,30
"Horns","RTWC",189800,125,189800,"         NA","2",2014,44
"Horrible Bosses 2","WB",60933000,16514,62156200,"    4200000","9",2014,47
"Horse Money","CGld",7200,2,6900,"         NA","3",2015,30
"Horses of God","KL",NA,7,16500,"         NA","9",2014,26
"Hostiles","ENTMP",30175800,9934,30128400,"         NA","9",2017,51
"Hot Pursuit","WB (NL)",37400000,11586,38855600,"    3500000","9",2015,19
"Hot Tub Time Machine 2","Par.",14058700,6922,14058700,"    1400000","5",2015,8
"Hot Water","Indic.",12500,20,12800,"         NA","8",2016,11
"Hotel Artemis","Global Road",6629400,4987,6629500,"         NA","6",2018,23
"Hotel Transylvania 2","Sony",180836600,28046,183347300,"    8000000","9",2015,39
"Hotel Transylvania 3: Summer Vacation","Sony",148432300,18290,148432400,"    8000000","5",2018,27
"Housefull 3","Eros",1409100,435,1409100,"         NA","3",2016,23
"How He Fell in Love","Orion",19200,15,19100,"         NA","4",2016,28
"How Long Will I Love U","WGUSA",738100,99,738200,"         NA","5",2018,21
"How to be a Latin Lover","PNT",33298900,5582,33298900,"         NA","8",2017,17
"How to Be Single","WB (NL)",50603900,13088,50216000,"    3800000","9",2016,7
"How to Let Go of the World and Love All Things Climate Can't Change","WOW",36100,13,38600,"         NA","7",2016,16
"How to Talk to Girls at Parties","A24",83800,123,83800,"         NA","3",2018,21
"How to Train Your Dragon 2","Fox",78304500,19207,201525100,"   14500000","9",2014,26
"How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home","CARUSEL",4700,16,4500,"         NA","2",2018,12
"Howards End (2016 Restoration)","Cohen",174500,25,174600,"         NA","5",2016,35
"Hubble 3D","WB",NA,905,56444700,"         NA","439",2014,26
"Human Capital","FM",244200,66,170700,"         NA","9",2015,2
"Human Flow","Magn.",533100,201,533000,"         NA","9",2017,41
"Humor Me","Shout!",37800,15,40600,"         NA","7",2018,2
"Hungry Hearts","IFC",7900,16,7800,"         NA","4",2015,23
"Hunt for the Wilderpeople","Orch.",5661400,1648,5489700,"         NA","9",2016,26
"Hunter Gatherer","Mats.",20400,43,21600,"         NA","9",2016,47
"Hyena","Trib.",3600,9,3700,"         NA","3",2015,18
"I'll Push You","Fathom",382600,557,382600,"         NA","-",2017,43
"I'll See You In My Dreams","BST",8345000,2073,8370700,"         NA","9",2015,20
"I'm Not Ashamed","PFR",2196700,1266,2196700,"         NA","6",2016,43
"I (2015)","AaF",704700,222,704700,"         NA","-",2015,2
"I Am Ali","Focus",8000,11,8000,"         NA","1",2014,41
"I Am Big Bird","Trib.",73900,81,76200,"         NA","9",2015,18
"I Am Eleven","Proud",346400,193,346700,"         NA","9",2014,37
"I Am MLK Jr.","Gathr",5800,7,5800,"         NA","9",2018,17
"I Am Not Madame Bovary","WGUSA",460600,83,459700,"         NA","8",2016,47
"I am Not Your Negro","Magn.",7465100,1644,7378600,"         NA","9",2017,5
"I am the Blues","FM",39300,33,39300,"         NA","9",2017,27
"I Belonged to You","CL",785200,136,785200,"         NA","6",2016,40
"I Called Him Morgan","SD",52200,7,133900,"         NA","7",2017,12
"I Can Only Imagine","RAtt.",83567400,16929,82503300,"     700000","9",2018,11
"I Can Speak","CJ",11500,2,63900,"         NA","4",2017,41
"I Do... Until I Don't","TFA",291300,235,291400,"         NA","3",2017,35
"I Don't Belong Anywhere: The Cinema of Chantal Akerman","Icar.",7500,10,7700,"         NA","8",2016,13
"I Dream In Another Language","FR",2800,2,2800,"         NA","2",2017,30
"I Feel Pretty","STX",48223300,15658,48223400,"    3200000","9",2018,16
"I Knew Her Well","Jan.",19500,1,19500,"         NA","1",2016,6
"I Love You Both","Magn.",4900,11,4800,"         NA","3",2017,23
"I Origins","FoxS",386000,303,386000,"         NA","5",2014,29
"I Saw the Light","SPC",1749600,1520,1748700,"         NA","9",2016,13
"I Smile Back","BG",62600,31,62600,"         NA","4",2015,43
"I, Daniel Blake","IFC",269600,165,270300,"         NA","7",2017,22
"I, Tonya","Neon",30368800,7232,30275600,"         NA","9",2017,49
"Ice Age: Collision Course","Fox",69772600,15400,69416400,"   10500000","9",2016,30
"Iceman (2014)","WGUSA",8000,6,8000,"         NA","1",2014,38
"Ichi The Killer (2017 re-release)","WGUSA",19900,22,19900,"         NA","9",2017,45
"Ida","MBox",1766600,681,4358000,"         NA","9",2014,26
"If I Stay","WB (NL)",57839100,17086,56373700,"    1100000","9",2014,34
"If You Don't, I Will","FM",3500,3,11100,"         NA","5",2014,50
"Il Boom (2017 re-release)","Rialto",60000,18,58500,"         NA","8",2017,24
"Ilo Ilo","FM",17500,7,65100,"         NA","16",2014,26
"In a Valley of Violence","FCW",65200,45,65200,"         NA","2",2016,43
"In Between","FM",NA,83,106700,"         NA","9",2017,52
"In Bloom","BWP",4200,2,64400,"         NA","25",2014,26
"In Harmony","Distrib.",3400,4,3300,"         NA","2",2016,16
"In Her Name (Au nom de ma fille)","Distrib.",1700,2,1700,"         NA","1",2016,49
"In Jackson Heights","Zipp.",129200,49,130800,"         NA","9",2015,45
"In Order of Disappearance","Magn.",54700,24,54700,"         NA","4",2016,35
"In Our Hands: The Battle for Jerusalem","Fathom",2231900,1358,2231800,"         NA","1",2017,20
"In Pursuit of Silence","CGld",10900,8,29700,"         NA","3",2017,27
"In the Basement","Strand",2700,3,3900,"         NA","5",2015,45
"In the Fade","Magn.",324800,216,321800,"         NA","9",2017,51
"In the Heart of the Sea","WB",26689100,8370,27032900,"   10000000","9",2015,50
"In the Intense Now","Icar.",16300,5,16300,"         NA","6",2018,4
"In the Land of Pomegranates","FRun",7100,2,7100,"         NA","2",2018,1
"In the Name of my Daughter","Cohen",305700,137,311800,"         NA","6",2015,20
"In the Shadow of Women","Distrib.",54100,27,53900,"         NA","9",2016,3
"In the Steps of Trisha Brown","Icar.",200,1,4400,"         NA","5",2017,15
"In This Corner of the World","FUN",178800,50,178700,"         NA","5",2017,32
"Incarnate","BH Tilt",5061900,3548,5061900,"     500000","4",2016,49
"Incredibles 2","BV",584858800,30175,584858800,"         NA","9",2018,24
"Independence Day: Resurgence","Fox",110814000,15410,112355800,"   16500000","9",2016,26
"Indian Point","FRun",7900,5,7900,"         NA","4",2016,28
"Indignation","RAtt.",3702200,1124,3616300,"         NA","9",2016,31
"Inferno","Sony",36132300,10731,36059400,"    7500000","9",2016,44
"Infinitely Polar Bear","SPC",1606400,701,1591500,"         NA","9",2015,25
"Ingrid Bergman: In Her Own Words","Rialto",146000,70,150000,"         NA","9",2015,46
"Ingrid Goes West","Neon",3138600,1718,3105800,"         NA","9",2017,32
"Inherent Vice","WB",9240900,1856,9259700,"         NA","9",2014,50
"Inhumans","Imax",1579700,393,1579700,"         NA","1",2017,35
"Innocence (2014)","JSC",337400,517,337300,"         NA","2",2014,36
"Inseparables","FM",2700,2,6300,"         NA","4",2017,43
"Inside Out","BV",400339700,36559,396789800,"   17500000","9",2015,25
"Inside the Mind of Leonardo Da Vinci in 3D","SD",5800,4,6000,"         NA","2",2014,51
"Insidious Chapter 3","Focus",58674700,11369,58674700,"    1000000","9",2015,23
"Insidious: The Last Key","Uni.",68372100,13012,68372000,"    1000000","9",2018,1
"Intent to Destory (Gathr release)","Gathr",11900,9,18100,"         NA","21",2017,48
"Intent to Destroy","Abr.",13000,3,13000,"         NA","1",2017,45
"Intersection (2018)","Indic.",4900,5,5100,"         NA","7",2018,24
"Interstellar","Par.",210331300,24533,214648500,"   16500000","9",2014,44
"Into the Forest","A24",10900,15,10900,"         NA","1",2016,31
"Into The Storm","WB (NL)",54579900,15085,53367800,"    5000000","9",2014,32
"Into the Woods","BV",145744400,19417,145908200,"    5000000","9",2014,51
"Ip Man 3","WGUSA",2850300,416,2850300,"         NA","5",2016,4
"Iris (2015)","Magn.",1437800,530,1472700,"         NA","9",2015,17
"Irrational Man","SPC",4522800,2061,4415400,"         NA","9",2015,29
"Irving Berlin's Holiday Inn The Broadway","Fathom",146000,395,146000,"         NA","-",2017,45
"Is Genesis History?","Fathom",1883600,704,1883600,"         NA","-",2017,7
"Is That a Gun in Your Pocket?","A23",43000,13,42100,"         NA","4",2016,38
"Island of Lemurs: Madagascar (IMAX)","WB",8796100,3418,11695400,"         NA","99",2014,26
"Isle Of Dogs","FoxS",31687300,8498,31613500,"         NA","9",2018,12
"ISM","CineGalaxy",139800,79,139800,"         NA","1",2016,43
"Ismael's Ghosts","Magn.",102000,67,101300,"         NA","9",2018,12
"It","WB (NL)",338434900,30636,330692400,"    3500000","9",2017,36
"It's All So Quiet (Boven is het stil)","BWP",800,1,800,"         NA","1",2015,2
"It's Not Yet Dark","FR",1300,2,1300,"         NA","1",2017,31
"It Comes At Night","A24",14477200,6236,14508300,"         NA","9",2017,23
"It Follows","RTWC",15849300,6447,16488300,"         NA","9",2015,11
"It Had to be You","Gold.",7600,2,7600,"         NA","1",2016,43
"Itzhak","Greenwich",603300,306,600200,"         NA","9",2018,10
"Ivory Tower","Gold.",54500,17,119900,"         NA","5",2014,26
"Ixcanul","KL",300400,138,311300,"         NA","36",2016,34
"Izzy Gets the Fuck Across Town","Shout!",20000,15,20000,"         NA","1",2018,25
"Jab Harry Met Sejal","Yash",1728000,280,1728000,"         NA","1",2017,31
"Jack Reacher: Never Go Back","Par.",61763000,14952,61689400,"    6000000","9",2016,43
"Jackie","FoxS",11819000,3052,14632200,"         NA","9",2016,49
"Jafar Panahi's Taxi","KL",333200,145,346800,"         NA","9",2015,40
