"Title","Studio","calWeeklyGross","totTheatreCount","totGross","totBudget","WeeksOn","startYear","startWeek"
"Patti Cake$","FoxS",830300,871,822600,"         NA","8",2017,33
"Paul Blart: Mall Cop 2","Sony",76635700,21126,79780200,"    3000000","9",2015,16
"Paul Coelho's Best Story","MBox",9900,6,9900,"         NA","2",2015,31
"Paul Taylor: Creative Domain","INDEP",33400,26,32100,"         NA","9",2015,37
"Paul, Apostle of Christ","Affirm",17545200,5660,17354500,"     500000","9",2018,12
"Paulette","Cohen",31400,2,31400,"         NA","2",2015,33
"Pawn Sacrifice","BST",2613300,1763,2596300,"         NA","9",2015,37
"Pay 2 Play: Democracy's High Stakes","SFI",12500,7,12300,"         NA","4",2014,36
"Peace Officer","SD",21700,12,21200,"         NA","3",2015,37
"Pearl Button","KL",43100,28,45600,"         NA","9",2015,43
"Pearl Jam - Let's Play Two","Abr.",351300,210,351300,"         NA","2",2017,39
"Peggy Guggenheim Art Addict","SD",464800,135,470400,"         NA","9",2015,45
"Pele: Birth of a Legend","IFC",53000,40,53100,"         NA","4",2016,20
"Pelle the Conqueror (2017 re-release)","FM",10300,16,10100,"         NA","9",2017,8
"Penguins of Madagascar","Fox",94007600,23761,94962700,"   13200000","9",2014,47
"Penton: The John Penton Story","Gathr",93900,56,128000,"         NA","9",2014,27
"People Places Things","TFA",71200,40,71300,"         NA","3",2015,33
"Permanent","Magn.",13000,18,13000,"         NA","4",2017,50
"Persecuted","MNE",1788300,1162,1788400,"         NA","4",2014,29
"Person To Person","Magn.",50400,39,50300,"         NA","7",2017,30
"Personal Shopper","IFC",1360000,621,1351800,"         NA","9",2017,10
"Pet","Gold.",100,1,100,"         NA","1",2016,40
"Pete's Dragon (2016)","BV",82978700,21559,81074500,"    6500000","9",2016,33
"Peter and the Farm","Magn.",18400,32,18600,"         NA","8",2016,45
"Peter Rabbit","Sony",116480600,27257,113901800,"    5000000","9",2018,6
"PGS Intuition","Gathr",10400,12,35000,"         NA","22",2018,13
"Phantom (2015)","UTV",539200,176,539200,"         NA","2",2015,35
"Phantom Boy","GK",37500,35,37400,"         NA","4",2016,29
"Phantom Detective","CJ",71300,25,71200,"         NA","5",2016,20
"Phantom of the Theatre","WGUSA",36100,26,36100,"         NA","1",2016,19
"Phantom Thread","Focus",21302700,5821,21258300,"         NA","9",2017,51
"Phillauri","FIP",488700,156,484300,"         NA","3",2017,12
"Phoenix (2015)","IFC",3536300,1133,3370000,"         NA","9",2015,30
"Phoenix Forgotten","CLF",3728800,3348,3728900,"     280000","8",2017,16
"Pierrot le fou (2015 re-issue)","Rialto",34800,3,37100,"         NA","7",2015,51
"Piku","Yash",1299000,119,1299000,"         NA","1",2015,19
"Pioneer","Magn.",7600,8,7800,"         NA","5",2014,49
"Pirates of the Caribbean: Dead Men Tell No Tales","BV",178750700,21793,179128900,"   23000000","9",2017,21
"Pitch Perfect 2","Uni.",200273500,20653,206508000,"    2900000","9",2015,20
"Pitch Perfect 3","Uni.",106054900,17362,106157200,"    4500000","9",2017,51
"Pixels","Sony",88301300,19545,85909600,"    8800000","9",2015,30
"Planes: Fire & Rescue","BV",67862200,16615,67219700,"    5000000","9",2014,29
"Planetarium","Swen",3400,2,3400,"         NA","3",2017,32
"Please Stand By","Magn.",10000,11,10000,"         NA","4",2018,4
"Plot for Peace","N/A",7900,4,7900,"         NA","2",2014,44
"Point Break (2015)","WB",30865000,8960,31097200,"   10500000","9",2015,52
"Pokemon the Movie: I Choose You!","Fathom",2425300,789,2425300,"         NA","2",2017,44
"Polina","Osci.",171300,90,166800,"         NA","9",2017,34
"Poltergeist (2015)","Fox",51857400,10626,53288600,"    3500000","9",2015,21
"Poor Boy","Indic.",26600,16,26600,"         NA","5",2018,28
"Pop Aye","KL",80700,50,78700,"         NA","9",2017,25
"Pope Francis - A Man of His Word","Focus",1906000,1241,1905900,"         NA","9",2018,20
"Popstar: Never Stop Never Stopping","Uni.",10236800,4970,10500000,"         NA","8",2016,23
"Porto","KL",15500,12,15300,"         NA","9",2017,46
"Portrait of a Garden","Ghop",8300,1,8300,"         NA","1",2016,44
"Poster Boys","Sony",100800,100,100700,"         NA","2",2017,36
"Postman Pat: The Movie","Shout!",1700,2,1700,"         NA","1",2014,26
"Power Rangers (2017)","LGF",89068200,15803,88416600,"   10000000","9",2017,12
"Predestination","VE",78000,30,78100,"         NA","3",2015,2
"Prem Ratan Dhan Payo","FIP",4650500,782,4650600,"         NA","3",2015,45
"Premam","BSC",872800,362,872700,"         NA","5",2016,40
"Presenting Princess Shaw","Magn.",64800,39,65600,"         NA","9",2016,22
"Priceless (2016)","RAtt.",1581600,857,1581500,"         NA","9",2016,42
"Pride (2014)","CBS",1615600,559,1615700,"         NA","8",2014,39
"Pride and Prejudice and Zombies","SGem",11817800,6460,11817800,"    2800000","4",2016,6
"Princess Cut","WMP",24500,17,23600,"         NA","8",2015,30
"Princess Mononoke - Studio Ghibli (2018)","Fathom",1447100,739,1447100,"         NA","1",2018,29
"Professor Marston & the Wonder Women","Annapurna",1596300,2407,1596400,"         NA","5",2017,41
"Project Almanac","Par.",25513300,9023,25513300,"    1200000","8",2015,5
"Project Itoh - Harmony","FUN",23900,43,23900,"         NA","-",2016,20
"Prophet's Prey","SHO",42300,19,41900,"         NA","7",2015,38
"Proud Mary","SGem",21127700,6160,21127700,"    1400000","8",2018,2
"Providence","MS",9000,8,9000,"         NA","2",2016,7
"Puerto Ricans in Paris","FCW",109300,41,109300,"         NA","1",2016,24
"Pump","SD",101700,29,100300,"         NA","5",2014,38
"Purple Rain (2016 re-release)","WB",1983600,87,1983600,"         NA","1",2016,17
"Puzzle","SPC",509600,65,509600,"         NA","3",2018,30
"Pyaar Ka Punchnama 2","Rel.",211600,77,211600,"         NA","2",2015,42
"Quai des Orfevres (2018 Re-issue)","Rialto",27600,7,27700,"         NA","7",2018,15
"Queen and Country","BBC",47100,11,47100,"         NA","2",2015,7
"Queen of Earth","IFC",97000,46,92300,"         NA","5",2015,34
"Queen of Katwe","BV",9334200,4668,9320100,"    1500000","9",2016,39
"Quest (2017)","FRun",36600,10,48400,"         NA","7",2017,48
"R100","Drft.",28500,30,28500,"         NA","4",2015,4
"Rabin, the Last Day","KL",30600,19,30200,"         NA","8",2016,5
"Race (2016)","Focus",20648500,7579,20416200,"         NA","9",2016,8
"Racer & the Jailbird","Super",45800,50,45800,"         NA","2",2018,18
"Radio Dreams","Mats.",25500,31,28900,"         NA","9",2017,20
"Radio Free Albemuth","Free",10700,10,10700,"         NA","1",2014,26
"Raees","Zee",2879300,530,2879200,"         NA","1",2017,3
"Ragnarok","Magn.",1500,4,1600,"         NA","3",2014,34
"Raid (2018)","Eros",919200,158,919200,"         NA","2",2018,11
"Raiders!: The Story of the Greatest Fan Film Ever Made","Drft.",77100,95,78300,"         NA","9",2016,25
"Railroad Tigers","WGUSA",228600,61,228700,"         NA","4",2017,1
"Raja Natwarlal","UTV",138000,73,138000,"         NA","1",2014,35
"Ramen Heads","FB",57400,28,56700,"         NA","6",2018,11
"Rampage (2018)","WB (NL)",98180700,21557,98180900,"   12000000","9",2018,15
"Rams (Hr<fa>tar)","Cohen",160900,69,158500,"         NA","9",2016,5
"Ran (2016 re-issue)","Rialto",65100,18,68200,"         NA","9",2016,9
"Range 15","TUG",661700,399,677300,"         NA","7",2016,24
"Rat Film","CGld",13000,11,34900,"         NA","9",2017,39
"Ratchet & Clank","Focus",9366900,7549,9367000,"         NA","5",2016,18
"Raw (2017)","FCW",536200,186,533300,"         NA","8",2017,10
"RBG","Magn.",13609500,3197,13609400,"         NA","9",2018,18
"Ready Player One","WB",135695100,25794,135411600,"         NA","9",2018,12
"Rebel in the Rye","IFC",390300,263,382000,"         NA","8",2017,36
"Rebels of the Neon God","BWP",31800,14,32400,"         NA","9",2015,15
"Rebels on Pointe","Icar.",11800,9,11700,"         NA","4",2017,45
"REC 4: Apocalypse","Magn.",1000,5,1000,"         NA","1",2015,1
"Red Army","SPC",767900,323,728600,"         NA","9",2015,4
"Red Christmas","Artsploitati",2300,12,2300,"         NA","8",2017,34
"Red Herring","Indic.",52700,38,52700,"         NA","4",2015,44
"Red Hollywood","CGld",9700,1,9700,"         NA","1",2014,33
"Red Sparrow","Fox",47392000,11443,46324800,"    6900000","9",2018,9
"Red Trees","Cohen",14200,9,14200,"         NA","1",2017,37
"Rediscover Sautet","Rialto",900,3,27000,"         NA","23",2015,44
"Redwood Highway","Mont.",33700,29,152900,"         NA","28",2014,26
"Regression","W/Dim.",59500,109,59500,"         NA","3",2016,6
"Reign of Judges: Title of Liberty - Concept Short","Darin Southa",78700,26,92100,"         NA","4",2018,10
"Remember (Canada Release)","EOne",582600,293,591000,"         NA","9",2015,42
"Remember (US Release)","A24",680100,308,675300,"         NA","9",2016,11
"Remember the Goal","5&2",126000,108,123400,"         NA","6",2016,35
"Remember You","CJ",14900,4,14900,"         NA","2",2016,3
"Rendezvous in July (2018 re-release)","Rialto",11100,4,11000,"         NA","2",2018,30
"Reparation","Red Dirt",24100,9,23500,"         NA","5",2016,36
"Requiem for the American Dream","TFC",140000,74,137300,"         NA","9",2016,5
"Reset","FR",5800,5,5700,"         NA","4",2017,2
"Reset (Ni Shi Ying Jiu)","WGUSA",113200,28,113100,"         NA","3",2017,26
"Resident Evil: The Final Chapter","SGem",28135200,8218,28135200,"    4000000","9",2017,4
"Restless Creature: Wendy Whelan","Abr.",152600,40,152800,"         NA","9",2017,20
"Restored Me","Gathr",37700,27,38500,"         NA","7",2016,23
"Restored Me (Masters Media)","Masters",3700,10,3700,"         NA","1",2016,37
"Results","Magn.",117300,62,117400,"         NA","5",2015,22
"Revelation: Dawn of Global Government","RM",17500,2,17500,"         NA","1",2016,16
"Revenge (2018)","Neon",100900,63,100900,"         NA","3",2018,19
"Revenge of the Mekons","MBox",10500,7,12800,"         NA","5",2014,43
"Rhymes for Young Ghouls","Mont.",1600,10,1700,"         NA","7",2014,43
"Ribbons","Indic.",28600,20,28200,"         NA","9",2017,38
"Rich Hill","Orch.",104500,91,124100,"         NA","9",2014,31
"Ricki and the Flash","TriS",30107200,10010,30024000,"    1800000","9",2015,32
"Ride Along 2","Uni.",98549300,16541,98050600,"    4000000","9",2016,3
"Ridge Runners","Indic.",26300,20,26300,"         NA","6",2018,3
"Rifftrax: Samurai Cop","Fathom",398500,1410,398500,"         NA","1",2017,14
"Rififi (2015 re-release)","Rialto",64000,20,61500,"         NA","8",2015,36
"Right Now, Wrong Then","Ghop",23800,11,25800,"         NA","8",2016,26
"Rings","Par.",29144800,8507,29144900,"    2500000","7",2017,5
"Rio 2","Fox",4400000,2028,150911100,"   10300000","21",2014,26
"Rio, I Love You","Scre.",33900,37,34000,"         NA","7",2016,16
"Risen","Sony",39834700,12894,39195100,"    2000000","9",2016,8
"Risk","Neon",207300,119,207800,"         NA","9",2017,18
"River of Fundament","ICir",45000,15,47600,"         NA","8",2015,49
"River of Grass","Osci.",10800,8,10700,"         NA","7",2016,11
"Road Hard","FB",129200,22,129200,"         NA","1",2015,10
"Road to Ninja - Naruto the Movie","Elev.",49600,56,49300,"         NA","6",2014,35
"Roar!","Drft.",119100,109,123700,"         NA","9",2015,15
"Rock Dog","LG/S",9877000,6335,9757400,"         NA","7",2017,8
"Rock On 2","Eros",104300,97,104300,"         NA","1",2016,46
"Rock The Kasbah","ORF",3218600,4570,3218600,"         NA","5",2015,43
"Rocks in my Pockets","Zeit.",35000,13,38200,"         NA","8",2014,35
"Rodin","Cohen",42200,21,42300,"         NA","5",2018,22
"Rogue One: A Star Wars Story","BV",476483700,24959,557324700,"   20000000","9",2016,51
"Roman J. Israel, Esq.","Sony",12080200,6891,12106400,"    2200000","9",2017,46
"Room","A24",15783900,6150,15837400,"         NA","9",2015,42
"Roseanne for President!","IFC",5200,2,5200,"         NA","1",2016,27
"Rosenwald","CIE",479900,170,468800,"         NA","9",2015,33
"Rosewater","ORF",3495200,1307,3572100,"         NA","7",2014,46
"Rough Night","Sony",22903200,8912,22947300,"    2000000","9",2017,24
"Rubble Kings","Sab.",8300,3,8300,"         NA","1",2015,25
"Rudderless","Gold.",65100,26,65100,"         NA","2",2014,42
"Rules Don't Apply","Fox",3851600,7362,3851600,"    2500000","4",2016,47
"Rumble: The Indians Who Rocked The World","KL",211500,137,228200,"         NA","29",2017,29
"Run All Night","WB",29894500,10784,28490100,"    5000000","8",2015,11
"Running for Grace","Blue Fox",66800,6,66800,"         NA","2",2018,29
"Running Man (2015)","CL",355000,46,355000,"         NA","4",2015,5
"Runoff","Mont.",NA,18,33900,"         NA","9",2015,26
"Rustom","Zee",1184500,133,1184500,"         NA","1",2016,33
"RV: Resurrected Victims","WGUSA",20500,15,20600,"         NA","2",2017,42
"Ryuichi Sakamoto: Coda","MUBI",99800,23,99800,"         NA","6",2018,27
"Sacred","Argo.",17800,7,17800,"         NA","9",2017,18
"Sagrada: The Mystery of Creation","FRun",66100,51,63300,"         NA","9",2014,37
"Saigon Bodyguards","CJ",6000,4,11600,"         NA","6",2017,5
"Sailor Moon R: The Movie","Elev.",474100,320,474000,"         NA","4",2017,3
"Saint Laurent","SPC",433800,216,482600,"         NA","9",2015,19
"Salut D'Amour","CJ",20700,2,20700,"         NA","2",2015,15
"Salvation Army","Strand",4400,2,4500,"         NA","2",2015,4
"Samba","BG",170200,67,170300,"         NA","5",2015,30
"Same Kind of Different as Me","PFR",6486700,3748,6500700,"         NA","9",2017,42
"Samson","PFR",4776300,3014,4762200,"         NA","8",2018,7
"San Andreas","WB (NL)",174368000,21140,174182400,"   11000000","9",2015,22
"Sand Storm","KL",91700,32,91500,"         NA","6",2016,38
"Sanju","FIP",7816600,1117,7816600,"         NA","7",2018,26
"Santoalla","Osci.",2800,3,2800,"         NA","2",2017,28
"Sarkar 3","Eros",258500,214,258500,"         NA","2",2017,19
"Satanic","Magn.",300,3,300,"         NA","1",2016,27
"Saturday's Warrior","Purd.",792600,271,803400,"         NA","9",2016,14
"Sausage Party","Sony",106371800,17447,105217700,"    1900000","9",2016,33
"Saving Banksy","PDF",47300,24,47300,"         NA","8",2017,2
"Saving Brinton","BOP",48400,31,46900,"         NA","9",2017,37
"Saving Mr. Wu","UEP",96000,32,96000,"         NA","3",2015,40
"Saw 10th Anniversary","LGF",910600,2063,910600,"         NA","1",2014,44
"SBK The-Movie","HanM",5300,6,5300,"         NA","1",2015,14
"School Life","Magn.",38400,53,37700,"         NA","7",2017,36
"Score: A Film Music Documentary","Grav.",68900,17,102400,"         NA","7",2017,24
"Scotty and the Secret History of Hollywood","Greenwich",209400,24,209400,"         NA","3",2018,30
"Scouts Guide to the Zombie Apocalypse","Par.",3945600,3063,3945700,"    1500000","3",2015,44
"Scum (2017 re-release)","KL",6700,4,6700,"         NA","4",2017,24
"Search Engines","Indic.",20200,23,20100,"         NA","9",2016,42
"Search Party","FCW",4900,10,4900,"         NA","1",2016,20
"Seasons","MBox",151700,126,157400,"         NA","9",2016,48
"Second Nature","Smarthouse",3900,1,3900,"         NA","1",2017,36
"Seed: The Untold Story","CEye",115700,65,175000,"         NA","9",2016,34
"Seeds of Time","KL",5100,4,5200,"         NA","3",2015,21
"Self/Less","Focus",13798000,5710,13797900,"    2600000","7",2015,28
"Selma","Par.",59428900,11908,59183300,"    2000000","9",2014,51
"Sembene!","KL",29000,14,29800,"         NA","8",2015,46
